key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,respT.rt
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,70,70,9,1,10000,0,151000,11,0.452
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,left,1,0,71,71,85,1,25000,0,35000,150,0.304
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,72,72,47,1,5000,0,56000,60,0.046
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,left,1,0,73,73,48,1,5000,0,105000,60,0.069
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,left,1,0,74,74,77,1,25000,0,75000,59,4.553
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,75,75,40,1,5000,0,14000,31,0.396
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,left,1,0,76,76,23,1,10000,0,110000,90,0.277
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,left,1,0,77,77,0,1,10000,0,20000,5,1.416
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,78,78,86,1,25000,0,55000,151,1.203
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,79,79,3,1,10000,0,109000,5,0.507
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,80,80,84,1,25000,0,150000,89,0.556
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,81,81,39,1,5000,0,149000,10,0.322
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,left,1,0,82,82,42,1,5000,0,56000,29,0.492
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,left,1,0,83,83,2,1,10000,0,61000,4,0.658
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,84,84,62,1,25000,0,75000,5,0.438
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,left,1,0,85,85,36,1,5000,0,36000,9,0.347
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,left,1,0,86,86,18,1,10000,0,110000,60,0.717
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,87,87,14,1,10000,0,150000,30,0.656
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,88,88,11,1,10000,0,39000,29,0.848
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,89,89,49,1,5000,0,149000,59,0.845
