key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,fbclid,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,right,1,0.9095,0,25,25,72,1,25000,0,75000,31
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,right,0,0.9643,0,26,26,83,1,25000,0,125000,89
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,left,0,3.4653,0,27,27,35,1,5000,0,15000,11
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,left,0,1.3386,0,28,28,88,1,25000,0,125000,149
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,left,1,1.3997,0,29,29,1,1,10000,0,39000,6
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,right,0,2.0527,0,30,30,51,1,5000,0,35000,89
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,right,1,1.6781,0,31,31,9,1,10000,0,151000,11
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,left,1,1.145,0,32,32,73,1,25000,0,125000,31
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,right,0,1.7372,0,33,33,78,1,25000,0,125000,59
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,right,1,2.2405,0,34,34,36,1,5000,0,36000,9
