key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,key_resp_4.keys,key_resp_4.rt
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,1.9962,0,36,36,47,1,5000,0,56000,60,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,2.2718,0,37,37,6,1,10000,0,40000,10,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,2.2574,0,38,38,66,1,25000,0,55000,11,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,6.0161,0,39,39,3,1,10000,0,109000,5,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,0.7234,0,40,40,78,1,25000,0,125000,59,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,4.1192,0,41,41,57,1,5000,0,55000,151,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,0.6937,0,42,42,27,1,10000,0,61000,150,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,1.6258,0,43,43,29,1,10000,0,151000,151,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,3.7886,0,44,44,80,1,25000,0,35000,90,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,1.8095,0,45,45,25,1,10000,0,10000,150,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,0.6485,0,46,46,28,1,10000,0,109000,149,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,0.8143,0,47,47,60,1,25000,0,35000,5,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,1.0224,0,48,48,14,1,10000,0,150000,30,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,0.5647,0,49,49,85,1,25000,0,35000,150,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,1.1343,0,50,50,42,1,5000,0,56000,29,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,0.3725,0,51,51,53,1,5000,0,104000,90,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,2.691,0,52,52,50,1,5000,0,15000,91,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,0.5677,0,53,53,2,1,10000,0,61000,4,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,1.0085,0,54,54,17,1,10000,0,60000,60,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,0.3756,0,55,55,88,1,25000,0,125000,149,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,0.6521,0,56,56,73,1,25000,0,125000,31,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,0.4407,0,57,57,30,1,5000,0,16000,4,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,0.7066,0,58,58,46,1,5000,0,36000,61,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,0.3857,0,59,59,21,1,10000,0,40000,91,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,0.4243,0,60,60,36,1,5000,0,36000,9,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,1.1203,0,61,61,54,1,5000,0,150000,90,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,1.5681,0,62,62,38,1,5000,0,104000,10,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,1.39,0,63,63,55,1,5000,0,14000,149,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,2.6379,0,64,64,77,1,25000,0,75000,59,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,2.3064,0,65,65,15,1,10000,0,20000,59,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,2.1268,0,66,66,62,1,25000,0,75000,5,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,0.2465,0,67,67,58,1,5000,0,106000,152,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,3.4226,0,68,68,18,1,10000,0,110000,60,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,0.1782,0,69,69,61,1,25000,0,55000,6,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,0.5262,0,70,70,64,1,25000,0,150000,4,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,0.2411,0,71,71,56,1,5000,0,35000,150,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,0.7402,0,72,72,8,1,10000,0,111000,10,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,0.7049,0,73,73,1,1,10000,0,39000,6,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,3.4527,0,74,74,87,1,25000,0,75000,151,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,2.1483,0,75,75,65,1,25000,0,35000,11,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,2.8623,0,76,76,24,1,10000,0,149000,89,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,1.9757,0,77,77,76,1,25000,0,55000,60,,
