key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,img_address,L_reward_1,L_prob_1,L_reward_2,L_prob_2,R_reward_1,R_prob_1,R_reward_2,R_prob_2,participant,session,date,expName,psychopyVersion,OS,frameRate,block_loop.thisRepN,block_loop.thisTrialN,block_loop.thisN,block_loop.thisIndex,block_loop.ran,block_address,cond_spanish
,,,,left,4.6015,0,4,4,15,1,img/GP_15.png,72,0.88,29,0.12,67,0.39,63,0.61,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,left,7.4248,0,5,5,6,1,img/GP_6.png,70,0.17,65,0.83,100,0.35,50,0.65,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,left,1.9667,0,6,6,17,1,img/GP_17.png,76,0.9,69,0.1,19,0.66,79,0.34,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,right,7.5145,0,7,7,2,1,img/GP_2.png,31,0.59,63,0.41,92,0.89,20,0.11,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,right,1.3459,0,8,8,14,1,img/GP_14.png,56,0.09,19,0.91,13,0.76,90,0.24,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,left,4.9025,0,9,9,9,1,img/GP_9.png,43,0.19,5,0.81,91,0.14,6,0.86,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,left,4.6741,0,10,10,3,1,img/GP_3.png,51,0.07,35,0.93,9,0.6,89,0.4,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,left,4.0631,0,11,11,19,1,img/GP_19.png,53,0.01,99,0.99,87,0.83,61,0.17,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,left,2.5425,0,12,12,0,1,img/GP_0.png,88,0.29,78,0.71,53,0.29,91,0.71,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,right,16.5844,0,13,13,5,1,img/GP_5.png,41,0.63,18,0.37,56,0.98,8,0.02,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,right,2.5013,0,14,14,10,1,img/GP_10.png,43,0.91,96,0.09,48,0.66,38,0.34,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,right,1.9402,0,15,15,13,1,img/GP_13.png,47,0.24,27,0.76,45,0.88,29,0.12,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,left,2.6741,0,16,16,4,1,img/GP_4.png,13,0.48,70,0.52,72,0.18,60,0.82,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,left,12.3127,0,17,17,16,1,img/GP_16.png,37,0.61,50,0.39,6,0.6,45,0.4,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,right,2.5197,0,18,18,18,1,img/GP_18.png,57,0.69,40,0.31,39,0.07,74,0.93,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,left,2.7482,0,19,19,11,1,img/GP_11.png,69,0.33,56,0.67,89,0.4,37,0.6,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,,,,,,,,,,,,,,,,,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,0,2,2,1,1,img_links_win.csv,Va a empezar turnos con opciones de ganancia. Oprima barra espaceadora para continuar.
