Performance,RT,ProbRatio,NumRatio,DenRatio,AreaCtl,WinSide1,WinSide2,DenSide1,DenSide2,ProbSide1,ProbSide2,sideR,subID
0,0.34849,1,0.33333,0.33333,1,2,6,8,24,0.25,0.25,2,1
0,0.33681,0.66667,0.8,0.53333,1,5,4,15,8,0.33333,0.5,1,1
0,0.26315,1,0.63636,0.63636,1,7,11,14,22,0.5,0.5,2,1
1,0.32702,1,0.16667,0.16667,1,12,2,24,4,0.5,0.5,1,1
1,0.28014,0.66667,0.22222,0.33333,1,2,9,8,24,0.25,0.375,2,1
1,0.28981,0.8,0.71429,0.57143,1,15,21,16,28,0.9375,0.75,1,1
0,0.42677,0.66667,0.57143,0.85714,2,7,4,28,24,0.25,0.16667,2,1
1,0.26682,1,0.66667,0.66667,2,18,12,24,16,0.75,0.75,1,1
1,0.31019,1,0.46667,0.46667,1,15,7,30,14,0.5,0.5,1,1
1,0.30212,1,0.92308,0.92308,2,13,12,26,24,0.5,0.5,1,1
1,0.32601,1,0.15385,0.15385,1,13,2,26,4,0.5,0.5,1,1
0,0.30939,0.5,0.33333,0.16667,1,6,2,24,4,0.25,0.5,1,1
1,0.37181,0.5,0.33333,0.16667,1,3,9,4,24,0.75,0.375,1,1
1,0.35167,1,0.4,0.4,2,6,15,8,20,0.75,0.75,1,1
1,0.30124,0.5,0.75,0.375,2,12,9,32,12,0.375,0.75,2,1
1,0.31639,1,0.5,0.5,2,24,12,32,16,0.75,0.75,1,1
0,0.38602,0.5,0.5,1,2,6,3,8,8,0.75,0.375,2,1
1,0.30044,0.8,0.625,0.5,1,15,24,16,32,0.9375,0.75,1,1
0,0.38296,0.5,0.75,0.375,2,3,4,6,16,0.5,0.25,2,1
1,0.27667,0.8,0.33333,0.41667,1,3,1,12,5,0.25,0.2,1,1
0,0.33867,1,0.93333,0.93333,1,15,14,30,28,0.5,0.5,2,1
0,0.27798,0.66667,0.33333,0.22222,1,3,1,18,4,0.16667,0.25,1,1
0,0.2485,1,1,1,1,3,3,6,6,0.5,0.5,2,1
0,0.31228,0.8,0.1,0.125,2,1,10,4,32,0.25,0.3125,1,1
0,0.2823,0.66667,0.8,0.53333,1,8,10,16,30,0.5,0.33333,2,1
