key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,ssAmount_text,llAmount_text,llDelay_text,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,ss_Amt_text,ss_Delay_text,ll_Amt_text,ll_Delay_text,key_resp_4.keys,key_resp_4.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,right,0,0.372,0,68,68,16,1,10000,0,39000,59,"$10,000 ",0 días,"$39,000 ",59 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,left,1,0.113,0,69,69,52,1,5000,0,56000,89,"$5,000 ",0 días,"$56,000 ",89 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,left,0,0.243,0,70,70,45,1,5000,0,15000,61,"$5,000 ",0 días,"$15,000 ",61 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,right,1,0.755,0,71,71,58,1,5000,0,106000,152,"$5,000 ",0 días,"$106,000 ",152 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,left,0,0.068,0,72,72,17,1,10000,0,60000,60,"$10,000 ",0 días,"$60,000 ",60 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,right,1,0.078,0,73,73,77,1,25000,0,75000,59,"$25,000 ",0 días,"$75,000 ",59 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,right,0,0.076,0,74,74,66,1,25000,0,55000,11,"$25,000 ",0 días,"$55,000 ",11 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,left,1,0.095,0,75,75,78,1,25000,0,125000,59,"$25,000 ",0 días,"$125,000 ",59 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,left,0,0.152,0,76,76,5,1,10000,0,19000,11,"$10,000 ",0 días,"$19,000 ",11 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,right,1,0.027,0,77,77,26,1,10000,0,39000,150,"$10,000 ",0 días,"$39,000 ",150 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,left,0,0.22,0,78,78,61,1,25000,0,55000,6,"$25,000 ",0 días,"$55,000 ",6 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,right,1,0.095,0,79,79,85,1,25000,0,35000,150,"$25,000 ",0 días,"$35,000 ",150 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,left,0,0.202,0,80,80,40,1,5000,0,14000,31,"$5,000 ",0 días,"$14,000 ",31 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,left,1,0.243,0,81,81,43,1,5000,0,106000,29,"$5,000 ",0 días,"$106,000 ",29 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,right,0,0.098,0,82,82,4,1,10000,0,150000,5,"$10,000 ",0 días,"$150,000 ",5 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,left,1,0.489,0,83,83,30,1,5000,0,16000,4,"$5,000 ",0 días,"$16,000 ",4 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,right,0,0.06,0,84,84,84,1,25000,0,150000,89,"$25,000 ",0 días,"$150,000 ",89 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,left,1,0.539,0,85,85,25,1,10000,0,10000,150,"$10,000 ",0 días,"$10,000 ",150 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,right,0,0.141,0,86,86,47,1,5000,0,56000,60,"$5,000 ",0 días,"$56,000 ",60 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,left,1,0.008,0,87,87,46,1,5000,0,36000,61,"$5,000 ",0 días,"$36,000 ",61 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,right,0,0.061,0,88,88,88,1,25000,0,125000,149,"$25,000 ",0 días,"$125,000 ",149 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,right,1,0.751,0,89,89,56,1,5000,0,35000,150,"$5,000 ",0 días,"$35,000 ",150 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,space,2.616
