trial_type,time_elapsed,internal_node_id,bonus,subject,practice,trial,n_pumps,limit,outcome,value,information_seeking,emo_rating_1,winnings,emo_rating_2,stimulus,age,gender,final_outcome,final_fb,emo_diff,missed
balloon-inflate,240016,0.0-7.0-2.0,0.8,168,FALSE,10,4,4,bank,20,TRUE,138,0.8,200,NA,37,male,bank,TRUE,62,0
balloon-inflate,287426,0.0-7.0-2.0,0.8,169,FALSE,10,4,12,bank,20,TRUE,200,0.8,-51,NA,28,male,bank,TRUE,-251,8
balloon-inflate,360154,0.0-7.0-2.0,1.6,170,FALSE,10,8,10,bank,20,TRUE,200,1.6,181,NA,37,female,bank,TRUE,-19,2
balloon-inflate,367291,0.0-7.0-2.0,0,171,FALSE,10,4,2,bust,20,FALSE,-200,0,NA,NA,43,female,bust,FALSE,NA,-2
balloon-inflate,197441,0.0-7.0-2.0,1,172,FALSE,10,5,9,bank,20,TRUE,200,1,-100,NA,28,female,bank,TRUE,-300,4
balloon-inflate,283640,0.0-7.0-2.0,1,173,FALSE,10,5,10,bank,20,FALSE,200,1,197,NA,35,female,bank,FALSE,-3,5
balloon-inflate,295835,0.0-7.0-2.0,0,174,FALSE,10,3,1,bust,20,FALSE,-200,0,NA,NA,58,male,bust,FALSE,NA,-2
balloon-inflate,422999,0.0-7.0-2.0,0,175,FALSE,10,4,0,bust,20,FALSE,-200,0,NA,NA,65,male,bust,FALSE,NA,-4
balloon-inflate,224158,0.0-7.0-2.0,1.2,176,FALSE,10,6,7,bank,20,FALSE,200,1.2,200,NA,42,male,bank,FALSE,0,1
balloon-inflate,353591,0.0-7.0-2.0,0,177,FALSE,10,10,9,bust,20,FALSE,-119,0,NA,NA,28,male,bust,FALSE,NA,-1
balloon-inflate,306964,0.0-7.0-2.0,1.4,178,FALSE,10,7,9,bank,20,TRUE,87,1.4,-30,NA,34,female,bank,TRUE,-117,2
balloon-inflate,303796,0.0-7.0-2.0,0,179,FALSE,10,8,0,bust,20,FALSE,-200,0,NA,NA,19,female,bust,FALSE,NA,-8
balloon-inflate,284120,0.0-7.0-2.0,0,180,FALSE,10,4,1,bust,20,FALSE,0,0,NA,NA,29,female,bust,FALSE,NA,-3
balloon-inflate,282001,0.0-7.0-2.0,1.4,181,FALSE,10,7,9,bank,20,TRUE,200,1.4,184,NA,36,male,bank,TRUE,-16,2
balloon-inflate,337053,0.0-7.0-2.0,1,182,FALSE,10,5,9,bank,20,TRUE,200,1,-200,NA,51,male,bank,TRUE,-400,4
balloon-inflate,639804,0.0-7.0-2.0,0,183,FALSE,10,5,0,bust,20,FALSE,39,0,NA,NA,40,female,bust,FALSE,NA,-5
balloon-inflate,485544,0.0-7.0-2.0,0,184,FALSE,10,8,3,bust,20,FALSE,-200,0,NA,NA,39,male,bust,FALSE,NA,-5
balloon-inflate,290256,0.0-7.0-2.0,0,185,FALSE,10,6,0,bust,20,FALSE,-2,0,NA,NA,51,male,bust,FALSE,NA,-6
balloon-inflate,182730,0.0-7.0-2.0,0,186,FALSE,10,5,0,bust,20,FALSE,-37,0,NA,NA,42,female,bust,FALSE,NA,-5
balloon-inflate,205102,0.0-7.0-2.0,0.8,187,FALSE,10,4,7,bank,20,TRUE,111,0.8,101,NA,26,female,bank,TRUE,-10,3
balloon-inflate,239686,0.0-7.0-2.0,0.8,188,FALSE,10,4,10,bank,20,TRUE,200,0.8,157,NA,34,female,bank,TRUE,-43,6
balloon-inflate,1163809,0.0-7.0-2.0,1,189,FALSE,10,5,8,bank,20,TRUE,200,1,-187,NA,65,female,bank,TRUE,-387,3
